Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
16157,Bratz: Forever Diamondz,PS2,2006.0,Adventure,THQ,0.01,0.01,0.0,0.0,0.01
7489,Bugs Bunny & Taz: Time Busters,PS,2000.0,Adventure,Infogrames,0.11,0.08,0.0,0.01,0.21
3264,Wipeout: The Game,DS,2010.0,Misc,Activision,0.58,0.0,0.0,0.04,0.62
12502,NBA Hangtime,PS,1996.0,Sports,Midway Games,0.03,0.02,0.0,0.0,0.06
9092,Hexyz Force,PSP,2009.0,Role-Playing,Atlus,0.07,0.0,0.06,0.01,0.14
13422,The Bible Game,XB,2005.0,Misc,Crave Entertainment,0.03,0.01,0.0,0.0,0.05
16405,Tenchu San Portable,PSP,2009.0,Action,From Software,0.0,0.0,0.01,0.0,0.01
6769,Classic NES Series: Xevious,GBA,2004.0,Shooter,Nintendo,0.08,0.03,0.12,0.01,0.25
1201,BioShock 2,PS3,2010.0,Shooter,Take-Two Interactive,0.85,0.47,0.02,0.22,1.55
15826,Busou Renkin: Youkoso Papillon Park e,PS2,2007.0,Action,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
7185,Hidden Mysteries: Buckingham Palace,DS,2010.0,Puzzle,Avanquest,0.13,0.07,0.0,0.02,0.22
6387,Dora the Explorer: Dora Saves the Crystal Kingdom,Wii,2009.0,Misc,Take-Two Interactive,0.24,0.01,0.0,0.02,0.27
11651,Slayers Royal 2,SAT,1998.0,Role-Playing,Kadokawa Shoten,0.0,0.0,0.08,0.0,0.08
8469,Phantasy Star Online 2,PSV,2013.0,Role-Playing,Sega,0.0,0.0,0.16,0.0,0.16
7929,Daigasso! Band Brothers,DS,2004.0,Misc,Nintendo,0.0,0.0,0.19,0.0,0.19
9402,Over the Hedge: Hammy Goes Nuts!,DS,2006.0,Platform,Activision,0.12,0.0,0.0,0.01,0.13
4041,FIFA Soccer 09,DS,2008.0,Sports,Electronic Arts,0.12,0.31,0.0,0.06,0.49
5483,BeatMania Append GottaMix,PS,1999.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.31,0.02,0.33
702,Mario Bros.,NES,1983.0,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28
3427,Lost: Via Domus,X360,2008.0,Action,Ubisoft,0.18,0.34,0.0,0.07,0.59
6969,Hot Wheels: Beat That!,DS,2007.0,Racing,Activision,0.22,0.0,0.0,0.02,0.23
445,Personal Trainer: Cooking,DS,2006.0,Misc,Nintendo,0.91,1.0,1.03,0.17,3.12
8086,Dengeki Bunko Fighting Climax,PSV,2014.0,Fighting,Sega,0.08,0.0,0.07,0.03,0.18
13411,Brave Story: New Traveller (jp sales),PSP,2006.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.05,0.0,0.05
1448,The Simpsons: Hit & Run,XB,2003.0,Racing,Vivendi Games,0.7,0.58,0.0,0.07,1.35
5122,Yarudora Series Vol.1: Double Cast,PS,1998.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.35,0.02,0.37
14543,Commander: Conquest of the Americas,PC,2010.0,Strategy,Paradox Interactive,0.0,0.02,0.0,0.01,0.03
5368,Freeway,2600,1980.0,Action,Activision,0.32,0.02,0.0,0.0,0.34
3973,Babysitting Mama,Wii,2010.0,Simulation,505 Games,0.34,0.12,0.0,0.04,0.5
8606,TimeShift,PS3,2007.0,Shooter,Vivendi Games,0.14,0.01,0.0,0.01,0.16
1866,SingStar Legends,PS2,2006.0,Misc,Sony Computer Entertainment,0.12,0.75,0.0,0.23,1.1
932,NBA Live 2002,PS2,2001.0,Sports,Electronic Arts,0.91,0.71,0.0,0.24,1.86
14163,Tsuyo Kiss: Mighty Heart,PS2,2006.0,Adventure,Princess Soft,0.0,0.0,0.03,0.0,0.03
8745,NHL 2K10,PS3,2009.0,Sports,Take-Two Interactive,0.13,0.01,0.0,0.01,0.15
3364,Skylanders SWAP Force,WiiU,2013.0,Platform,Activision,0.4,0.15,0.0,0.06,0.6
14230,JoJo's Bizarre Adventure: Eyes of Heaven,PS4,2015.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
12218,One Piece: Unlimited World Red,WiiU,2014.0,Action,Namco Bandai Games,0.0,0.04,0.02,0.0,0.07
3391,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.59
8161,Charlie and the Chocolate Factory,GC,2005.0,Adventure,Global Star,0.14,0.04,0.0,0.0,0.18
4322,Crash: Mind Over Mutant,Wii,2008.0,Platform,Vivendi Games,0.36,0.06,0.0,0.03,0.45
5848,Lizzie McGuire 3: Homecoming Havoc,GBA,2005.0,Platform,Disney Interactive Studios,0.22,0.08,0.0,0.01,0.3
16194,Homeworld Remastered Collection,PC,,Strategy,,0.0,0.01,0.0,0.0,0.01
4181,Virtua Tennis 4: World Tour,PSV,2011.0,Sports,Sega,0.05,0.3,0.01,0.12,0.47
1048,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006.0,Misc,Nintendo,0.0,0.0,1.71,0.0,1.71
757,The Sims: House Party,PC,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16
2225,Tony Hawk's Pro Skater 4,XB,2002.0,Sports,Activision,0.59,0.3,0.0,0.04,0.93
6917,Tiger Woods PGA Tour 10,PSP,2009.0,Sports,Electronic Arts,0.12,0.07,0.0,0.05,0.24
9433,Cabela's Dangerous Hunts 2009,X360,2008.0,Sports,Activision,0.12,0.0,0.0,0.01,0.13
7078,Barbie as The Island Princess,GBA,2007.0,Adventure,Activision,0.16,0.06,0.0,0.0,0.23
156,Tetris,NES,1988.0,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
16155,Izumo 2,PS2,2006.0,Adventure,GN Software,0.0,0.0,0.01,0.0,0.01
2237,Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999.0,Platform,Activision,0.71,0.2,0.0,0.01,0.93
1591,Reel Fishing,PS,1996.0,Sports,Natsume,0.99,0.13,0.1,0.04,1.25
1820,Supercar Street Challenge,PS2,2001.0,Racing,Activision,0.55,0.43,0.0,0.14,1.12
1763,Worldwide Soccer Manager 2009,PC,2008.0,Simulation,Sega,0.0,1.14,0.0,0.01,1.15
2483,Ace Combat 3: Electrosphere,PS,1999.0,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83
5123,Dungeon Siege III,X360,2011.0,Role-Playing,Square Enix,0.21,0.12,0.01,0.03,0.37
12730,Aggressive Inline,GC,2002.0,Sports,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.06
6206,Moshi Monsters: Moshlings Theme Park,3DS,2012.0,Misc,Activision,0.13,0.13,0.0,0.03,0.28
7924,Mushroom Men: The Spore Wars,Wii,2008.0,Action,SouthPeak Games,0.17,0.01,0.0,0.01,0.19
3124,Mary-Kate and Ashley: Magical Mystery Mall,PS,2000.0,Adventure,Acclaim Entertainment,0.36,0.24,0.0,0.04,0.65
1847,Lumines: Puzzle Fusion,PSP,2004.0,Puzzle,Ubisoft,0.52,0.35,0.0,0.23,1.11
12959,Myth Makers: Orbs of Doom,Wii,2007.0,Puzzle,Popcorn Arcade,0.05,0.0,0.0,0.0,0.05
3143,Test Drive Unlimited 2,PS3,,Racing,Atari,0.16,0.35,0.01,0.12,0.64
11115,Crysis: Maximum Edition,PC,2009.0,Shooter,Electronic Arts,0.0,0.07,0.0,0.02,0.09
14503,GTR Evolution,PC,2008.0,Racing,Atari,0.0,0.02,0.0,0.01,0.03
3301,Texas Hold 'Em Poker,GBA,2004.0,Misc,Majesco Entertainment,0.44,0.16,0.0,0.01,0.61
9752,Mobile Suit Gundam Seed: Rengou vs. Z.A.F.T. Portable,PSP,2007.0,Shooter,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
15163,Jojo's Bizarre Adventure,PS,1999.0,Fighting,Virgin Interactive,0.01,0.01,0.0,0.0,0.02
7176,Hamtaro: Ham-Ham Games,GBA,2004.0,Sports,Nintendo,0.16,0.06,0.0,0.0,0.22
4296,.hack//Outbreak Part 3,PS2,2002.0,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46
3341,Backyard Wrestling: Don't Try This at Home,PS2,2003.0,Fighting,Eidos Interactive,0.3,0.23,0.0,0.08,0.6
11184,Jimmy Neutron: Boy Genius,GC,2002.0,Platform,THQ,0.07,0.02,0.0,0.0,0.09
15908,Sengoku Efuda Yuugi: Hototogisu Ran,PSP,2008.0,Misc,Irem Software Engineering,0.0,0.0,0.02,0.0,0.02
1692,Pro Evolution Soccer 2008,Wii,2008.0,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19
11819,I-Ninja,XB,2003.0,Platform,Namco Bandai Games,0.05,0.02,0.0,0.0,0.07
9218,Ninjatown,DS,2008.0,Strategy,SouthPeak Games,0.12,0.0,0.0,0.01,0.14
16562,Sugar + Spice! Anoko no Suteki na Nanimokamo,PS2,2008.0,Adventure,Alchemist,0.0,0.0,0.01,0.0,0.01
16522,Bakumatsu Rock: Ultra Soul,PSP,2014.0,Misc,Marvelous Interactive,0.0,0.0,0.01,0.0,0.01
12454,S.T.A.L.K.E.R.: Call of Pripyat,PC,2009.0,Shooter,Namco Bandai Games,0.0,0.05,0.0,0.01,0.06
328,Just Dance 2014,Wii,2013.0,Misc,Ubisoft,1.98,1.47,0.0,0.32,3.76
1495,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2003.0,Role-Playing,Capcom,0.31,0.04,0.96,0.01,1.32
10017,Mechanic Master,DS,2008.0,Puzzle,Midway Games,0.1,0.0,0.0,0.01,0.11
10307,Hellboy: The Science of Evil,X360,2008.0,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
8769,Kingdom Under Fire: Heroes,XB,2005.0,Strategy,Deep Silver,0.11,0.03,0.0,0.01,0.15
15945,UNO 52,DS,2006.0,Misc,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.02
3980,Star Wars: Jedi Starfighter,PS2,2002.0,Simulation,Activision,0.24,0.19,0.0,0.06,0.5
3874,Iron Man,DS,2008.0,Action,Sega,0.35,0.12,0.0,0.05,0.52
5771,Star Wars Jedi Knight II: Jedi Outcast,XB,,Shooter,Activision,0.23,0.07,0.0,0.01,0.31
13908,Battle Hunter,PS,1999.0,Strategy,Midas Interactive Entertainment,0.02,0.01,0.0,0.0,0.04
12156,Driver: Parallel Lines,XB,2006.0,Racing,Atari,0.05,0.01,0.0,0.0,0.07
13580,SX Superstar,XB,2003.0,Racing,Acclaim Entertainment,0.03,0.01,0.0,0.0,0.04
10133,Pocket Pets,DS,2007.0,Simulation,O3 Entertainment,0.1,0.0,0.0,0.01,0.11
11513,Jillian Michaels Fitness Ultimatum 2010,DS,2009.0,Sports,Majesco Entertainment,0.07,0.0,0.0,0.01,0.08
12647,Syphon Filter: Logan's Shadow,PS2,2010.0,Shooter,Sony Computer Entertainment,0.03,0.02,0.0,0.01,0.06
4038,SpongeBob SquarePants: Creature from the Krusty Krab,DS,2006.0,Platform,THQ,0.45,0.0,0.0,0.04,0.49
3870,Harry Potter and the Prisoner of Azkaban,GBA,2004.0,Action,Electronic Arts,0.37,0.14,0.0,0.01,0.52
9162,The Operative: No One Lives Forever,PS2,2002.0,Shooter,Electronic Arts,0.07,0.05,0.0,0.02,0.14
12157,Cities XL 2012,PC,2011.0,Strategy,Focus Home Interactive,0.01,0.05,0.0,0.01,0.07
1945,DiRT,PS3,2007.0,Racing,Codemasters,0.16,0.67,0.0,0.23,1.06
4495,Alpha Protocol,PS3,2010.0,Role-Playing,Sega,0.19,0.18,0.0,0.07,0.43
303,Namco Museum: 50th Anniversary,PS2,2005.0,Misc,Namco Bandai Games,2.08,1.35,0.0,0.54,3.98
8544,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,PS2,2005.0,Adventure,Activision,0.08,0.06,0.0,0.02,0.16
10351,Black Bass with Blue Marlin,PS,1999.0,Sports,Starfish,0.06,0.04,0.0,0.01,0.11
10130,J-League Winning Eleven 9: Asia Championship,PS2,2005.0,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11
330,Super Paper Mario,Wii,2007.0,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76
15049,Ceville,PC,2009.0,Action,Kalypso Media,0.0,0.02,0.0,0.0,0.02
7135,Spec Ops: The Line,PC,2012.0,Shooter,Take-Two Interactive,0.11,0.09,0.0,0.03,0.23
4147,Sonic the Hedgehog,PS3,,Platform,,0.0,0.48,0.0,0.0,0.48
6641,Spy Kids Challenger,GBA,2002.0,Platform,Disney Interactive Studios,0.18,0.07,0.0,0.0,0.25
9958,Tokyo Twilight Ghost Hunters,PSV,2014.0,Role-Playing,Aksys Games,0.06,0.01,0.02,0.02,0.12
11922,Karaoke Revolution Party,GC,2005.0,Misc,Konami Digital Entertainment,0.05,0.01,0.0,0.0,0.07
15030,Kensei: Sacred Fist,PS,1997.0,Fighting,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.02
13330,Pool Party,Wii,2007.0,Sports,SouthPeak Games,0.04,0.0,0.0,0.0,0.05
16222,Thunder Alley,GBA,2004.0,Racing,XS Games,0.01,0.0,0.0,0.0,0.01
524,Imagine: Fashion Designer,DS,2007.0,Simulation,Ubisoft,1.32,1.19,0.0,0.3,2.81
11417,Cloudy With a Chance of Meatballs,PSP,2009.0,Platform,Ubisoft,0.07,0.0,0.0,0.01,0.08
8014,Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003.0,Action,Vivendi Games,0.09,0.07,0.0,0.02,0.18
13398,Hakuouki: Bakumatsu Musou Roku,PSP,2012.0,Action,Idea Factory,0.0,0.0,0.05,0.0,0.05
13974,Chaos Wars,PS2,2006.0,Strategy,Idea Factory,0.0,0.0,0.04,0.0,0.04
14035,Power Play Pool,DS,2006.0,Sports,System 3 Arcade Software,0.03,0.0,0.0,0.0,0.04
3497,Rooms: The Main Building,DS,2010.0,Adventure,Nintendo,0.1,0.41,0.01,0.06,0.58
8626,Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,2006.0,Fighting,Atari,0.14,0.0,0.0,0.01,0.16
12638,Adventures of Lolo,NES,1989.0,Puzzle,HAL Laboratory,0.06,0.0,0.0,0.0,0.06
7938,Chibi-Robo! Park Patrol,DS,2007.0,Adventure,Unknown,0.0,0.0,0.19,0.0,0.19
14770,The Sims 2: Bon Voyage,PC,2007.0,Simulation,Electronic Arts,0.01,0.01,0.0,0.0,0.03
613,Tomb Raider (2013),PS3,2013.0,Action,Square Enix,0.6,1.31,0.08,0.52,2.51
3821,Wayne Gretzky's 3D Hockey,N64,1996.0,Sports,Nintendo,0.49,0.03,0.0,0.0,0.53
5804,40 Winks,PS,1999.0,Platform,GT Interactive,0.17,0.12,0.0,0.02,0.31
7962,Farmtopia,DS,2010.0,Simulation,505 Games,0.18,0.0,0.0,0.01,0.19
16016,Codename: Panzers Phase Two,PC,2005.0,Strategy,CDV Software Entertainment,0.0,0.01,0.0,0.0,0.01
5031,NBA 2K7,PS3,2006.0,Sports,Take-Two Interactive,0.3,0.04,0.0,0.04,0.38
10077,18 Wheeler: American Pro Trucker,GC,2002.0,Racing,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.11
14844,SWAT 4,PC,2005.0,Shooter,Vivendi Games,0.0,0.02,0.0,0.0,0.03
10797,Street Fighter Collection,PS,1997.0,Fighting,Capcom,0.0,0.0,0.09,0.01,0.1
11170,Bleach GC: Tasogare Ni Mamieru Shinigami,GC,2005.0,Fighting,Sega,0.0,0.0,0.08,0.0,0.09
13945,Texas Hold 'Em Poker DS,DS,2005.0,Misc,Majesco Entertainment,0.03,0.0,0.0,0.0,0.04
10695,Predator: Concrete Jungle,XB,2005.0,Action,Vivendi Games,0.07,0.02,0.0,0.0,0.1
13558,Record of Agarest War: Marriage,PSP,2012.0,Role-Playing,Compile Heart,0.0,0.0,0.04,0.0,0.04
7590,Super Dodge Ball Advance,GBA,2001.0,Sports,Ubisoft,0.14,0.05,0.0,0.0,0.2
12966,Virtua Striker 2002,GC,2002.0,Sports,Sega,0.01,0.0,0.03,0.0,0.05
12281,BMX XXX,GC,2002.0,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06
9093,OutRun 2,XB,2004.0,Racing,Sega,0.11,0.03,0.0,0.01,0.14
12335,Killer Instinct (2013),XOne,2013.0,Fighting,Microsoft Game Studios,0.03,0.03,0.0,0.01,0.06
7894,The Heavy Rain and Beyond: Two Souls Collection,PS4,2016.0,Action,Sony Computer Entertainment,0.0,0.16,0.0,0.03,0.19
2135,Fire Emblem,GBA,2003.0,Strategy,Nintendo,0.49,0.18,0.29,0.01,0.97
11716,Medal of Honor: Underground,GBA,2002.0,Shooter,Zoo Digital Publishing,0.05,0.02,0.0,0.0,0.08
7515,Backyard NFL Football 2006,PS2,2005.0,Sports,Atari,0.1,0.08,0.0,0.03,0.2
14948,Warhammer Online: Age of Reckoning,PC,2008.0,Role-Playing,GOA,0.0,0.02,0.0,0.0,0.02
11617,Whac-A-Mole,DS,2005.0,Puzzle,Zoo Digital Publishing,0.07,0.0,0.0,0.01,0.08
7938,Chibi-Robo! Park Patrol,DS,2007.0,Adventure,Unknown,0.0,0.0,0.19,0.0,0.19
14594,Rugby League Live,PS3,2010.0,Sports,Home Entertainment Suppliers,0.0,0.02,0.0,0.01,0.03
11296,ZhuZhu Babies,DS,2011.0,Simulation,Activision,0.07,0.01,0.0,0.01,0.08
16047,Instant Brain,X360,2011.0,Adventure,Cave,0.0,0.0,0.01,0.0,0.01
4224,Metal Gear Solid: The Twin Snakes,GC,2004.0,Action,Konami Digital Entertainment,0.3,0.08,0.07,0.01,0.47
3247,Sacred 2: Fallen Angel,PS3,2009.0,Role-Playing,Deep Silver,0.22,0.23,0.08,0.09,0.62
8790,Marvel Super Hero Squad: The Infinity Gauntlet,X360,2010.0,Action,THQ,0.12,0.02,0.0,0.01,0.15
12337,Steins;Gate: Senkei Kousoku no Phonogram,PS3,2013.0,Adventure,5pb,0.0,0.0,0.06,0.0,0.06
4608,NiGHTS: Journey of Dreams,Wii,2007.0,Platform,Sega,0.33,0.03,0.04,0.03,0.42
14056,DarkStar One,PC,2006.0,Simulation,Ubisoft,0.0,0.03,0.0,0.01,0.04
16489,Case Closed: One Truth Prevails,Wii,2007.0,Adventure,Nobilis,0.0,0.0,0.01,0.0,0.01
10097,JASF: Jane's Advanced Strike Fighters,PS3,2011.0,Simulation,Deep Silver,0.07,0.03,0.0,0.02,0.11
4887,NHL 99,N64,1998.0,Sports,Electronic Arts,0.38,0.01,0.0,0.0,0.39
184,New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
12869,Vertigo,Wii,2009.0,Strategy,Playlogic Game Factory,0.05,0.0,0.0,0.0,0.05
6152,Arcade Hits: Frisky Tom,PS,2002.0,Action,Hamster Corporation,0.16,0.11,0.0,0.02,0.28
12719,Wantame Fortune Channel,DS,2007.0,Misc,Capcom,0.0,0.0,0.06,0.0,0.06
4971,Samurai Warriors Chronicles,3DS,2011.0,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39
8428,Street Fighter Alpha 2,SNES,1996.0,Fighting,Nintendo,0.0,0.0,0.17,0.0,0.17
16164,htoL#NiQ: The Firefly Diary,PSV,2014.0,Platform,Nippon Ichi Software,0.0,0.0,0.01,0.0,0.01
15498,Spirits and Demons: 5 Game Pack,PC,2015.0,Misc,Focus Multimedia,0.0,0.02,0.0,0.0,0.02
7410,Disney's Planes,WiiU,2013.0,Simulation,Disney Interactive Studios,0.15,0.04,0.0,0.02,0.21
8801,Theatrhythm Dragon Quest,3DS,2015.0,Misc,Square Enix,0.0,0.0,0.15,0.0,0.15
15725,Zoids Dash,DS,2006.0,Role-Playing,Tomy Corporation,0.0,0.0,0.02,0.0,0.02
10081,Digimon World DS,DS,2006.0,Role-Playing,Namco Bandai Games,0.1,0.0,0.0,0.01,0.11
12350,Star Wars Knights of the Old Republic II: The Sith Lords,PC,2005.0,Role-Playing,LucasArts,0.01,0.04,0.0,0.01,0.06
13533,Resident Evil Director's Cut,PS3,2006.0,Action,Capcom,0.0,0.0,0.04,0.0,0.04
13492,Dead Island Definitive Collection,XOne,2016.0,Action,Deep Silver,0.02,0.02,0.0,0.0,0.04
11616,Cosmic Family,Wii,2007.0,Misc,Ubisoft,0.07,0.0,0.0,0.01,0.08
5664,Manhunt 2,PSP,2007.0,Action,Take-Two Interactive,0.04,0.18,0.0,0.1,0.32
11040,Reading Training,DS,2007.0,Misc,Benesse,0.01,0.0,0.08,0.0,0.09
16510,Romeo Vs. Juliet,PSP,2013.0,Adventure,Quinrose,0.0,0.0,0.01,0.0,0.01
13468,Cheer We Go!,DS,2010.0,Misc,Natsume,0.04,0.0,0.0,0.0,0.04
15300,Tsuyo Kiss 2 Portable,PSP,2010.0,Adventure,NetRevo,0.0,0.0,0.02,0.0,0.02
429,Enter the Matrix,PS2,2003.0,Action,Atari,1.78,1.12,0.09,0.19,3.18
10221,Chameleon Twist,N64,1997.0,Platform,Sunsoft,0.09,0.02,0.0,0.0,0.11
923,Dynasty Warriors 3,PS2,2001.0,Action,THQ,0.53,0.16,1.07,0.1,1.87
15104,Crazy Machines,Wii,2010.0,Puzzle,DTP Entertainment,0.01,0.01,0.0,0.0,0.02
13052,Sherlock Holmes: Crimes & Punishments,PC,2014.0,Adventure,Focus Home Interactive,0.0,0.05,0.0,0.0,0.05
14047,Kiniro no Corda 2 f,PSP,2009.0,Role-Playing,Tecmo Koei,0.0,0.0,0.04,0.0,0.04
10065,Family Fun Football,Wii,2009.0,Sports,Tecmo Koei,0.1,0.0,0.0,0.01,0.11
6446,Dungeons & Dragons: Eye of the Beholder,GBA,2002.0,Role-Playing,Atari,0.19,0.07,0.0,0.0,0.26
4451,Blood Omen: Legacy of Kain,PS,1996.0,Role-Playing,Crystal Dynamics,0.25,0.17,0.0,0.03,0.44
11792,Margot's Word Brain,DS,2008.0,Puzzle,Zoo Games,0.07,0.0,0.0,0.01,0.07
5702,Might & Magic Heroes VI,PC,2011.0,Role-Playing,Ubisoft,0.12,0.14,0.0,0.05,0.31
4748,Battlefield 2: Modern Combat,X360,2006.0,Shooter,Electronic Arts,0.35,0.02,0.01,0.03,0.41
12793,Coraline,Wii,2009.0,Action,D3Publisher,0.05,0.0,0.0,0.0,0.06
14,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
4672,Cyber Troopers Virtual-On,SAT,1995.0,Fighting,Sega,0.0,0.0,0.42,0.0,0.42
8289,MX World Tour Featuring Jamie Little,PS2,2005.0,Racing,Play It,0.08,0.07,0.0,0.02,0.17
5830,Gameboy Gallery,GB,1995.0,Misc,Nintendo,0.0,0.0,0.3,0.0,0.3
13282,VR Soccer '96,PS,1996.0,Sports,Gremlin Interactive Ltd,0.03,0.02,0.0,0.0,0.05
7839,GunGriffon,SAT,1995.0,Simulation,Sega,0.0,0.0,0.19,0.0,0.19
10138,Where the Wild Things Are,X360,2009.0,Platform,Warner Bros. Interactive Entertainment,0.1,0.0,0.0,0.01,0.11
11576,Sherlock Holmes: Crimes & Punishments,PS3,2014.0,Adventure,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08
14888,Turbo: Super Stunt Squad,WiiU,2013.0,Sports,D3Publisher,0.0,0.02,0.0,0.0,0.03
13623,Tennis Masters Series 2003,XB,2002.0,Sports,Microids,0.03,0.01,0.0,0.0,0.04
3015,Street Sk8er,PS,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.67
5094,Digging for Dinosaurs,DS,2010.0,Action,Scholastic Inc.,0.35,0.0,0.0,0.02,0.37
375,Kung Fu,NES,1985.0,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
8563,World Series of Poker: Tournament of Champions 2007 Edition,X360,2006.0,Misc,Activision,0.15,0.0,0.0,0.01,0.16
6769,Classic NES Series: Xevious,GBA,2004.0,Shooter,Nintendo,0.08,0.03,0.12,0.01,0.25
11707,Mind Quiz: Your Brain Coach,DS,2006.0,Misc,Ubisoft,0.0,0.0,0.08,0.0,0.08
15474,Virtua Pro Football,PS2,2006.0,Sports,Sega,0.0,0.0,0.02,0.0,0.02
14180,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS3,2016.0,Misc,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
7460,Greg Hastings Paintball 2,X360,2010.0,Shooter,Majesco Entertainment,0.19,0.0,0.0,0.01,0.21
6692,Gex 64: Enter the Gecko,N64,1998.0,Action,GT Interactive,0.2,0.05,0.0,0.0,0.25
2293,DJ Hero,PS3,2009.0,Misc,Activision,0.42,0.34,0.0,0.14,0.91
3194,FIFA Soccer 2003,XB,2002.0,Sports,Electronic Arts,0.2,0.4,0.0,0.04,0.63
6443,Lowrider,PS2,2002.0,Misc,Pacific Century Cyber Works,0.11,0.09,0.03,0.03,0.26
2990,Fossil Fighters: Champions,DS,2010.0,Role-Playing,Nintendo,0.32,0.0,0.34,0.02,0.68
10631,L'Aigle de Guerre,GBA,2001.0,Strategy,Nintendo,0.0,0.0,0.1,0.0,0.1
1256,Final Fantasy XIV: A Realm Reborn,PC,2010.0,Role-Playing,Square Enix,0.86,0.48,0.0,0.17,1.5
1163,Soul Edge,PS,1996.0,Fighting,Sony Computer Entertainment,0.61,0.41,0.46,0.1,1.59
7395,Darkwatch,XB,2005.0,Shooter,Ubisoft,0.16,0.05,0.0,0.01,0.21
11904,SpongeBob's Truth or Square,PSP,2009.0,Action,THQ,0.02,0.04,0.0,0.01,0.07
5298,One Piece: Gigant Battle 2 Shin Sekai,DS,2011.0,Fighting,Namco Bandai Games,0.0,0.0,0.35,0.0,0.35
11940,Tornado,DS,,Action,Ignition Entertainment,0.07,0.0,0.0,0.0,0.07
12769,Angelique Trois,PS2,2000.0,Adventure,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
10713,Project FIFA World Cup,PS2,2002.0,Sports,Electronic Arts,0.0,0.0,0.1,0.0,0.1
2100,Guitar Hero: Aerosmith,PS3,2008.0,Misc,Activision,0.73,0.15,0.0,0.11,0.99
6569,Legendary,X360,2008.0,Shooter,Atari,0.08,0.15,0.0,0.03,0.26
11820,Kengo: Legend of The 9,X360,2006.0,Fighting,Majesco Entertainment,0.06,0.01,0.0,0.01,0.07
8708,Fist of the North Star: Ken's Rage,X360,2010.0,Action,Ubisoft Annecy,0.07,0.02,0.06,0.01,0.16
13746,Deadly Arts,N64,1998.0,Fighting,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.04
1649,WCW Mayhem,PS,1998.0,Fighting,Electronic Arts,0.68,0.46,0.0,0.08,1.22
15992,DokuSui: DokiDoki Suikoden,PSP,2011.0,Role-Playing,Irem Software Engineering,0.0,0.0,0.01,0.0,0.01
11267,Lara Croft and the Temple of Osiris,PS4,2014.0,Action,Square Enix,0.0,0.07,0.0,0.01,0.08
2019,Epic Mickey 2: The Power of Two,Wii,2012.0,Action,Disney Interactive Studios,0.72,0.23,0.0,0.08,1.03
13768,Antz Extreme Racing,PS2,2002.0,Racing,Empire Interactive,0.02,0.02,0.0,0.01,0.04
7919,Taiko no Tatsujin: Wii U Version!,WiiU,2013.0,Misc,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19
7064,Family Fest presents: Movie Games,Wii,2008.0,Action,Ubisoft,0.2,0.01,0.0,0.02,0.23
7266,Full Auto,X360,2006.0,Shooter,Sega,0.19,0.01,0.0,0.02,0.22
